Country,"('Unemployment, male (% of male labor force) (modeled ILO estimate)', '2018')","('Employment to population ratio', 'Total', '% ages 15 and older', '2018')","('Unemployment, female (% of female labor force) (modeled ILO estimate)', '2018')","('Gross domestic product', '$ billions', '2019')","('Health expenditure', 'Current', '% of GDP', '2017')","('Health expenditure', 'Public', '% of current', '2017')","('People using safely managed drinking water services', 'Unnamed: 2_level_1', '% of population', '2017')","('People using safely managed sanitation services', 'Unnamed: 4_level_1', '% of population', '2017')","('Lifetime risk of maternal mortality', 'Unnamed: 10_level_1', 'Probability 1 woman in:', '2017')","('Prevalence of undernourishment', 'Unnamed: 2_level_1', '% of population', '2018')","('Prevalence of smoking', 'Male', '% of adults', '2016')","('Prevalence of smoking', 'female', '% of adults', '2016')","('Cause of death', 'Communicable diseases and maternal, prenatal, and nutrition conditions', '% of population', '2016')","('Cause of death', 'Non-communicable diseases', '% of population', '2016')","('Life expectancy at birth', 'Unnamed: 2_level_1', 'years', '2018')","('Neonatal mortality rate', 'Unnamed: 4_level_1', 'per 1,000 live births', '2019')","('Infant mortality rate', 'Unnamed: 6_level_1', 'per 1,000 live births', '2019')","('Adult mortality rate', 'Male', 'per 1,000', '2013-18')","('Adult mortality rate', 'female', 'per 1,000', '2013-18')","('Gross intake ratio in first grade of primary education', 'Male', '% of relevant age group', '2018')","('Gross intake ratio in first grade of primary education', 'female', '% of relevant age group', '2018')","('Transition rate to secondary education', 'Male', '%', '2017')","('Transition rate to secondary education', 'female', '%', '2017')","('Youth literacy rate', 'Male', '% of ages 15-24', '2010-19')","('Youth literacy rate', 'female', '% of ages 15-24', '2010-19')","('Adult literacy rate', 'Male', '% ages 15 and older', '2010-19')","('Adult literacy rate', 'female', '% ages 15 and older', '2010-19')","('Primary completion rate', 'Male', '% of relevant age group', '2018')","('Primary completion rate', 'female', '% of relevant age group', '2018')","('Lower secondary completion rate', 'Male', '% of relevant age group', '2018')","('Lower secondary completion rate', 'female', '% of relevant age group', '2018')","('Access to electricity', 'Unnamed: 7_level_1', '% of population', '2015')","('Gross national income per capita, Atlas method', 'Unnamed: 5_level_1', '$', '2019')","('Population', 'Unnamed: 1_level_1', 'millions', '2019')","('Surface area', 'Unnamed: 2_level_1', 'sq. km thousands', '2019')","('Population density', 'Unnamed: 3_level_1', 'people per sq. km', '2019')"
Benin,2.2,69.1,2.6,14.4,3.7,30.0,74.89615384615384,64.45,49,7.4,12.0,1.0,54,36,61,31,59,259,211,150.0,144.0,83.0,85.0,70.0,52.0,54.0,31.0,68.0,61.0,51,40,37.7,1250.0,11.8,114.8,102
Bhutan,1.8,64.9,3.1,2.4,3.2,74.5,36.2,64.45,250,9.46271186440678,34.04424778761062,9.68695652173913,21,69,71,17,24,197,195,106.0,105.0,99.0,100.0,93.0,93.0,75.0,57.0,96.0,104.0,75,91,95.5,2970.0,0.8,38.4,20
Bolivia,3.5,69.4,3.6,40.9,6.4,68.5,74.89615384615384,22.9,220,15.5,34.04424778761062,9.68695652173913,22,65,71,15,21,219,138,99.0,99.0,97.0,97.0,99.0,99.0,97.0,89.0,95.0,94.0,82,84,91.5,3530.0,11.5,1098.6,10
Brunei Darussalam,8.3,59.2,9.6,13.5,2.4,94.8,74.89615384615384,64.45,1700,2.5,31.0,2.0,8,85,76,6,10,144,99,100.0,101.0,100.0,100.0,100.0,100.0,98.0,96.0,108.0,108.0,106,106,100.0,32230.0,0.4,5.8,81
Bulgaria,5.7,52.6,4.7,67.9,8.1,51.9,96.9,64.4,7000,3.0,44.0,30.0,2,95,75,3,6,184,86,91.0,91.0,100.0,99.0,98.0,98.0,99.0,98.0,87.0,86.0,51,42,100.0,9410.0,7.0,111.0,65
Burkina Faso,3.8,62.5,8.9,15.7,6.9,43.3,74.89615384615384,64.45,57,19.2,24.0,2.0,56,33,61,26,54,260,228,114.0,108.0,81.0,79.0,62.0,55.0,50.0,33.0,63.0,68.0,41,45,16.3,790.0,20.3,274.2,72
Burundi,1.9,78.0,1.0,3.0,7.5,24.7,74.89615384615384,64.45,33,9.46271186440678,34.04424778761062,9.68695652173913,56,32,61,21,40,311,253,129.0,127.0,76.0,77.0,91.0,86.0,76.0,61.0,58.0,68.0,29,36,8.6,280.0,11.5,27.8,435
Cabo Verde,12.7,52.9,11.5,2.0,5.2,60.2,74.89615384615384,64.45,670,18.5,17.0,2.0,20,70,73,9,13,182,86,99.0,98.0,94.0,95.0,98.0,99.0,92.0,82.0,85.0,89.0,60,77,87.1,3630.0,0.5,4.0,135
Cambodia,0.5,81.7,0.8,27.1,5.9,23.8,25.8,64.45,220,14.5,34.0,2.0,26,64,70,15,23,200,132,107.0,102.0,87.0,92.0,92.0,93.0,87.0,75.0,86.0,90.0,55,62,68.8,1480.0,16.5,181.0,92
Cameroon,2.9,73.6,3.8,38.8,4.7,13.3,74.89615384615384,64.45,40,6.3,34.04424778761062,9.68695652173913,54,35,59,26,50,318,281,123.0,110.0,64.0,69.0,88.0,82.0,83.0,72.0,68.0,61.0,48,47,58.7,1500.0,25.9,475.4,53
Chad,2.0,69.4,1.6,11.3,4.5,15.8,74.89615384615384,64.45,15,39.6,34.04424778761062,9.68695652173913,63,27,54,33,69,378,335,121.0,97.0,80.0,65.0,41.0,22.0,31.0,14.0,47.0,34.0,20,10,7.7,700.0,15.9,1284.0,12
Chile,6.7,58.0,8.0,282.3,9.0,50.1,98.6,77.5,4600,3.5,42.0,34.0,8,85,80,5,6,108,59,100.0,99.0,97.0,98.0,99.0,99.0,96.0,96.0,97.0,96.0,93,94,99.7,15010.0,19.0,756.7,25
Colombia,7.1,62.4,11.8,323.8,7.2,67.8,73.2,17.0,630,5.5,14.0,5.0,10,75,77,8,12,152,78,116.0,111.0,93.07377049180327,92.87704918032787,99.0,99.0,95.0,95.0,107.0,106.0,71,80,98.2,6510.0,50.3,1141.7,45
Costa Rica,8.0,56.2,12.2,61.8,7.3,73.5,93.8,64.45,1900,3.2,17.0,6.0,6,83,80,6,8,113,57,110.0,111.0,93.0,90.0,99.0,100.0,98.0,98.0,98.0,99.0,66,75,99.4,11700.0,5.0,51.1,98
Cote d'Ivoire,2.8,55.2,3.8,58.8,4.5,28.5,36.5,64.45,34,19.9,34.04424778761062,9.68695652173913,52,37,57,33,59,361,325,105.0,99.0,91.0,93.0,64.0,53.0,54.0,40.0,80.0,69.0,56,43,62.6,2290.0,25.7,322.5,79
Croatia,7.6,47.0,9.3,60.4,6.8,82.8,90.0,58.5,9100,2.5,40.0,34.0,2,92,78,3,4,118,50,97.0,98.0,99.0,98.0,100.0,100.0,100.0,99.0,94.0,95.0,99,98,100.0,14910.0,4.1,56.6,73
Cuba,1.6,52.8,1.8,100.0,11.7,89.4,74.89615384615384,44.3,1800,2.5,53.0,17.0,8,84,79,2,4,113,74,104.0,105.0,98.0,99.0,100.0,100.0,100.0,100.0,84.0,85.0,91,95,99.4,12415.348837209302,11.3,109.9,109
Cyprus,8.0,57.9,8.8,24.6,6.7,42.4,99.6,75.5,11000,6.8,53.0,20.0,4,91,81,1,2,65,33,96.0,98.0,99.0,100.0,100.0,100.0,99.0,98.0,102.0,102.0,95,97,100.0,27710.0,1.2,9.3,129
Czech Republic,1.8,59.4,2.8,246.5,7.2,81.7,97.9,94.5,17900,2.5,38.0,31.0,5,90,79,2,3,109,51,100.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,99.0,93,95,100.0,22000.0,10.7,78.9,138
Denmark,4.8,59.2,5.1,348.1,10.1,84.0,96.7,94.8,16200,2.5,19.0,19.0,7,90,81,3,3,82,52,98.0,99.0,100.0,100.0,92.34166666666667,90.68333333333334,87.575,81.40833333333333,101.0,101.0,100,99,100.0,63240.0,5.8,42.9,138
Dominican Republic,4.2,60.6,8.1,88.9,6.1,46.0,74.89615384615384,64.45,410,5.5,19.0,9.0,16,72,74,19,24,197,115,107.0,105.0,92.0,95.0,99.0,99.0,94.0,94.0,94.0,93.0,88,91,98.6,8090.0,10.7,48.7,220
Ecuador,2.9,65.6,4.4,107.4,8.3,52.8,75.1,42.0,640,8.8,12.0,2.0,15,72,77,7,12,161,88,103.0,107.0,99.0,100.0,99.0,99.0,94.0,92.0,104.0,105.0,95,99,98.8,6080.0,17.4,256.4,69
"Egypt, Arab Rep.",8.1,40.9,23.0,303.2,5.3,33.0,74.89615384615384,60.7,730,4.7,50.0,0.0,10,84,72,11,17,183,105,101.0,102.0,95.0,98.0,89.0,87.0,76.0,66.0,100.0,102.0,82,88,99.3,2690.0,100.4,1001.5,99
El Salvador,4.2,56.6,3.8,27.0,7.2,63.7,74.89615384615384,64.45,960,8.9,19.0,3.0,11,74,73,7,11,268,103,98.0,95.0,95.0,95.0,98.0,98.0,91.0,87.0,87.0,86.0,78,77,95.4,4000.0,6.5,21.0,310
Estonia,5.4,60.4,5.3,31.4,6.4,74.7,93.3,97.4,6900,2.5,39.0,25.0,3,93,78,1,2,155,56,95.0,97.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,95.0,102,102,100.0,23220.0,1.3,45.3,30
Eswatini,20.9,40.6,23.9,4.4,6.9,50.7,74.89615384615384,64.45,72,16.9,17.0,2.0,54,37,59,18,39,480,310,98.0,95.0,98.0,98.0,94.0,97.0,88.0,89.0,93.0,96.0,51,57,65.8,3590.0,1.1,17.4,66
Ethiopia,1.5,77.8,2.7,96.1,3.5,24.9,11.4,64.45,55,19.7,9.0,0.0,49,39,66,28,37,237,185,105.44961240310077,103.96899224806202,93.07377049180327,92.87704918032787,74.0,72.0,59.0,44.0,55.0,53.0,30,29,29.0,850.0,112.1,1104.3,109
Fiji,3.5,55.3,5.5,5.5,3.5,66.2,74.89615384615384,64.45,1000,3.9,35.0,10.0,10,84,67,11,22,257,175,113.0,110.0,98.0,98.0,100.0,100.0,99.0,99.0,108.0,106.0,99,106,95.1,5860.0,0.9,18.3,48
Finland,7.4,54.9,7.3,268.8,9.2,76.7,99.6,99.2,20900,2.5,23.0,18.0,1,93,82,1,2,89,44,99.0,99.0,100.0,100.0,92.34166666666667,90.68333333333334,87.575,81.40833333333333,100.0,101.0,100,99,100.0,49580.0,5.5,338.5,18
"Gambia, The",6.5,53.9,12.2,1.8,3.3,22.9,74.89615384615384,64.45,31,11.9,31.0,1.0,55,34,62,27,36,280,224,100.0,107.0,93.07377049180327,92.87704918032787,71.0,64.0,62.0,42.0,74.0,84.0,52,60,54.4,740.0,2.3,11.3,225
Georgia,14.8,58.9,12.5,17.7,7.6,37.2,80.0,27.2,1900,8.2,56.0,5.0,3,94,74,5,9,222,77,101.0,102.0,100.0,100.0,100.0,99.0,99.0,99.0,95.0,96.0,101,102,100.0,4740.0,3.7,69.7,65
Ghana,4.1,65.1,4.3,67.0,3.3,33.5,36.4,64.45,82,6.5,8.0,0.0,48,43,64,23,34,255,214,100.0,101.0,93.0,95.0,93.0,92.0,84.0,74.0,93.0,95.0,79,77,75.7,2220.0,30.4,238.5,131
Greece,15.4,42.0,24.3,209.9,8.0,60.2,100.0,90.4,26900,2.5,52.0,35.0,11,86,82,2,3,94,42,99.0,101.0,99.0,99.0,99.0,99.0,99.0,97.0,98.0,98.0,95,94,100.0,20320.0,10.7,132.0,83
Guatemala,1.9,60.8,3.5,76.7,5.8,35.8,56.0,64.45,330,16.1,34.04424778761062,9.68695652173913,25,59,74,12,21,201,111,106.0,105.0,94.0,86.0,95.0,93.0,87.0,76.0,80.0,79.0,58,55,90.5,4610.0,16.6,108.9,153
Honduras,4.7,64.9,7.2,25.1,7.9,40.1,74.89615384615384,64.45,560,13.8,34.04424778761062,2.0,14,67,75,9,15,167,116,91.0,91.0,69.0,73.0,95.0,98.0,87.0,87.0,77.0,82.0,40,47,90.0,2390.0,9.7,112.5,86
Hungary,3.5,54.5,4.0,161.0,6.9,68.7,89.6,95.7,6200,2.5,35.0,27.0,2,94,76,2,3,168,81,98.0,95.0,100.0,99.0,99.0,99.0,99.0,99.0,98.0,100.0,92,93,100.0,16140.0,9.8,93.0,108
India,5.3,46.8,5.3,2875.1,3.5,27.1,74.89615384615384,64.45,290,14.0,21.0,2.0,26,63,69,22,28,204,147,101.0,101.0,91.0,92.0,93.0,90.0,82.0,66.0,90.0,93.0,81,85,88.0,2130.0,1366.4,3287.3,455
Indonesia,4.7,64.5,4.3,1119.2,3.0,48.4,74.89615384615384,64.45,240,9.0,76.0,3.0,21,73,72,12,20,178,126,104.0,101.0,95.0,87.0,100.0,100.0,97.0,94.0,103.0,102.0,87,93,97.5,4050.0,270.6,1913.6,148
"Iran, Islamic Rep.",10.3,39.5,19.1,445.3,8.7,51.2,91.8,64.45,2600,4.7,21.0,1.0,8,82,76,9,12,83,50,105.0,105.0,97.0,94.0,98.0,98.0,90.0,81.0,100.0,99.0,92,89,100.0,5420.0,82.9,1745.2,50
Israel,4.0,61.5,4.0,395.1,7.4,63.6,99.4,93.7,10800,2.5,35.0,15.0,10,86,83,2,3,71,40,103.0,105.0,100.0,100.0,92.34166666666667,90.68333333333334,87.575,81.40833333333333,102.0,103.0,106,111,100.0,43290.0,9.1,22.1,410
Italy,9.7,44.4,11.8,2001.2,8.8,73.9,95.0,96.2,51300,2.5,28.0,20.0,5,91,83,2,3,65,37,97.0,96.0,100.0,100.0,100.0,100.0,99.0,99.0,98.0,97.0,99,99,100.0,34460.0,60.3,301.3,205
Jamaica,6.7,59.8,11.9,16.5,6.0,64.7,74.89615384615384,64.45,600,8.7,29.0,5.0,11,80,74,10,12,175,104,79.0,79.0,96.0,98.0,94.0,99.0,83.0,93.0,86.0,85.0,81,83,94.9,5250.0,2.9,11.0,271
Jordan,13.0,33.5,23.7,43.7,8.1,44.8,93.8,80.6,730,8.5,34.04424778761062,9.68695652173913,11,78,74,9,13,124,89,82.0,80.0,98.0,98.0,99.0,99.0,99.0,98.0,73.0,72.0,59,59,99.8,4300.0,10.1,89.3,112
Kazakhstan,4.3,65.7,5.3,180.2,3.1,62.1,89.5,64.45,3500,2.5,43.0,7.0,5,86,73,5,9,221,94,98.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,109.0,112.0,113,114,100.0,8810.0,18.5,2724.9,7
Kenya,2.5,72.5,2.8,95.5,4.8,42.7,74.89615384615384,64.45,76,23.0,20.0,1.0,63,27,66,21,32,265,195,96.0,92.0,98.0,100.0,88.0,88.0,85.0,78.0,99.0,100.0,79,79,41.6,1750.0,52.6,580.4,90
"Korea, Rep.",3.9,60.5,3.7,1642.4,7.6,57.4,98.2,99.9,8300,2.5,41.0,6.0,10,80,83,2,3,79,32,101.0,100.0,100.0,100.0,92.34166666666667,90.68333333333334,87.575,81.40833333333333,96.0,95.0,100,100,100.0,33720.0,51.7,100.3,529
Kuwait,0.9,71.9,5.4,134.8,5.3,87.4,100.0,100.0,4200,2.5,37.0,3.0,15,72,75,5,7,69,41,86.0,93.0,97.0,99.0,99.0,100.0,97.0,95.0,87.0,98.0,89,101,100.0,34290.0,4.2,17.8,232
Kyrgyz Republic,5.7,56.4,6.4,8.5,6.2,38.0,68.2,64.45,480,6.4,51.0,4.0,10,83,71,12,16,211,94,107.0,105.0,100.0,100.0,100.0,100.0,100.0,99.0,105.0,104.0,95,95,99.8,1240.0,6.5,200.0,33
Lao PDR,0.7,77.9,0.6,18.2,2.5,35.1,16.1,58.1,180,9.46271186440678,51.0,7.0,31,60,68,22,36,206,157,104.0,100.0,88.0,85.0,94.0,91.0,90.0,79.0,99.0,97.0,69,65,89.7,2570.0,7.2,236.8,31
Latvia,8.4,57.2,6.4,34.1,6.0,57.1,95.2,85.8,3100,2.5,51.0,26.0,3,92,75,2,3,229,85,100.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,98.0,99.0,99,100,100.0,17730.0,1.9,64.5,31
Lesotho,20.8,51.6,27.8,2.5,8.8,62.9,74.89615384615384,64.45,58,32.6,54.0,0.0,59,32,54,43,68,546,419,126.0,114.0,86.0,88.0,80.0,94.0,68.0,85.0,78.0,94.0,39,56,31.8,1360.0,2.1,30.4,69
Liberia,3.6,74.1,2.2,3.1,8.2,17.2,74.89615384615384,64.45,32,37.5,18.0,2.0,59,31,64,32,62,247,207,100.0,99.0,78.0,81.0,65.0,46.0,63.0,34.0,63.0,58.0,46,42,16.1,580.0,4.9,111.4,50
Lithuania,6.9,58.0,5.4,54.2,6.5,65.5,92.0,91.3,7500,2.5,38.0,21.0,4,90,76,2,3,213,79,104.0,104.0,99.0,99.0,100.0,100.0,100.0,100.0,104.0,104.0,99,100,100.0,18990.0,2.8,65.3,45
Madagascar,1.7,84.6,1.7,14.1,5.5,46.9,74.89615384615384,64.45,66,41.7,34.04424778761062,9.68695652173913,46,43,67,20,37,233,182,154.0,157.0,74.0,73.0,82.0,81.0,77.0,72.0,63.0,68.0,36,38,20.2,520.0,27.0,587.3,45
Malaysia,3.1,62.0,3.8,364.7,3.9,50.6,93.3,88.6,1600,3.0,42.0,1.0,18,74,76,5,7,160,84,104.0,106.0,92.0,90.0,97.0,97.0,96.0,94.0,98.0,101.0,79,84,100.0,11200.0,31.9,330.3,96
Maldives,6.0,64.8,5.3,5.7,9.0,71.5,74.89615384615384,64.45,840,9.46271186440678,55.0,2.0,8,84,79,5,7,67,42,96.0,99.0,98.0,100.0,98.0,99.0,97.0,98.0,93.0,94.0,118,105,99.8,9650.0,0.5,0.3,1719
Mali,6.5,65.8,7.9,17.5,3.8,34.9,74.89615384615384,18.7,29,5.1,23.0,2.0,61,31,59,32,60,264,245,84.0,76.0,77.0,80.0,58.0,43.0,46.0,26.0,52.0,47.0,33,27,37.6,880.0,19.7,1240.2,16
Malta,3.8,54.6,3.6,14.8,9.3,63.1,100.0,93.0,10200,2.5,30.0,21.0,6,91,82,5,6,64,35,106.0,109.0,100.0,98.0,99.0,100.0,93.0,96.0,105.0,102.0,104,104,100.0,27290.0,0.5,0.3,1514
Mauritania,8.3,41.5,11.9,7.6,4.4,38.8,74.89615384615384,64.45,28,11.9,34.04424778761062,9.68695652173913,53,37,65,32,50,218,176,104.0,106.0,68.0,64.0,71.0,57.0,64.0,43.0,73.0,80.0,40,44,39.5,1660.0,4.5,1030.7,4
Mauritius,4.6,54.6,9.9,14.2,5.7,42.9,74.89615384615384,64.45,1200,5.3,41.0,3.0,7,89,74,10,14,188,94,103.0,103.0,100.0,99.0,99.0,99.0,93.0,89.0,100.0,102.0,81,93,97.3,12740.0,1.3,2.0,623
Mexico,3.2,58.7,3.4,1258.3,5.5,51.5,42.9,50.4,1300,7.1,21.0,7.0,10,80,75,9,12,184,96,104.0,105.0,97.0,96.0,99.0,99.0,96.0,95.0,102.0,103.0,90,93,99.0,9430.0,127.6,1964.4,65
Moldova,3.5,42.1,2.5,12.0,7.0,50.6,72.9,64.45,3900,9.46271186440678,45.0,6.0,4,90,72,11,12,237,96,94.0,92.0,98.0,99.0,100.0,100.0,100.0,99.0,90.0,89.0,86,84,100.0,3930.0,2.7,33.9,94
Mongolia,6.8,56.1,5.6,13.9,4.0,61.7,23.7,64.45,710,21.3,47.0,6.0,10,80,70,8,13,288,123,104.0,100.0,99.0,100.0,98.0,99.0,98.0,99.0,102.0,102.0,105,105,88.0,3780.0,3.2,1564.1,2
Montenegro,15.2,46.2,15.1,5.5,6.385271317829457,51.28062015503876,93.6,64.45,9900,2.5,48.0,44.0,1,95,77,1,2,125,66,111.0,89.0,100.0,100.0,99.0,99.0,99.0,98.0,95.0,94.0,94,96,100.0,9010.0,0.6,13.8,46
Morocco,8.6,41.3,10.5,118.7,5.2,42.9,70.3,38.8,560,4.3,47.0,1.0,14,80,76,14,18,72,62,109.0,111.0,93.0,88.0,98.0,97.0,83.0,65.0,93.0,94.0,62,68,99.6,3190.0,36.5,446.6,81
Mozambique,3.0,75.7,3.5,14.9,4.9,29.9,74.89615384615384,64.45,67,32.6,29.0,5.0,65,27,60,29,55,390,268,174.0,169.0,72.0,76.0,77.0,65.0,73.0,50.0,55.0,49.0,24,24,24.0,480.0,30.4,786.4,38
Myanmar,1.2,61.0,2.0,76.1,4.7,14.8,74.89615384615384,64.45,190,14.1,35.0,6.0,24,68,67,22,36,248,150,140.0,131.0,93.07377049180327,92.87704918032787,85.0,84.0,80.0,72.0,96.0,95.0,62,68,60.5,1390.0,54.0,676.6,82
Namibia,21.1,47.3,18.6,12.4,8.6,46.1,74.89615384615384,64.45,140,14.7,34.0,10.0,49,41,63,19,31,349,249,113.0,114.0,93.07377049180327,92.87704918032787,94.0,96.0,92.0,91.0,91.0,97.0,73,81,51.6,5060.0,2.5,824.3,3
Nepal,1.6,82.6,1.2,30.6,5.6,22.3,27.2,64.45,230,6.1,38.0,10.0,25,66,70,20,26,167,130,146.0,148.0,84.0,81.0,94.0,91.0,79.0,60.0,118.0,123.0,97,102,85.2,1090.0,28.6,147.2,196
Niger,0.5,71.9,0.4,12.9,7.7,33.4,74.89615384615384,9.6,27,9.46271186440678,15.0,0.0,63,27,62,24,47,252,223,79.0,71.0,60.0,56.0,51.0,36.0,44.0,27.0,67.0,57.0,21,17,16.6,560.0,23.3,1267.0,18
North Macedonia,21.3,43.8,19.9,12.7,6.1,67.4,81.0,16.6,9000,3.1,34.04424778761062,9.68695652173913,2,95,76,4,5,120,63,105.0,105.0,93.07377049180327,92.87704918032787,99.0,99.0,99.0,97.0,94.0,93.0,86,86,100.0,5910.0,2.1,25.7,83
Norway,4.0,61.5,3.5,403.3,10.4,85.5,98.3,76.3,25700,2.5,21.0,20.0,7,87,83,1,2,62,39,100.0,101.0,100.0,99.0,92.34166666666667,90.68333333333334,87.575,81.40833333333333,99.0,99.0,98,97,100.0,82500.0,5.3,625.2,15
Oman,1.5,69.9,11.8,77.0,3.8,87.7,90.3,64.45,1600,7.8,16.0,1.0,11,72,78,5,10,101,63,99.0,102.0,97.0,100.0,98.0,99.0,97.0,93.0,98.0,103.0,108,99,100.0,15330.0,5.0,309.5,16
Pakistan,4.0,50.3,4.6,278.2,2.9,31.6,35.3,64.45,180,12.3,37.0,3.0,35,58,67,41,56,173,138,127.0,107.0,87.0,88.0,81.0,68.0,71.0,46.0,77.0,64.0,52,45,71.2,1530.0,216.6,796.1,275
Panama,3.2,64.0,5.0,66.8,7.3,59.9,74.89615384615384,64.45,750,6.9,10.0,2.0,16,75,78,9,13,148,77,92.0,91.0,100.0,98.0,99.0,99.0,96.0,95.0,91.0,89.0,74,80,95.3,14950.0,4.2,75.4,56
Papua New Guinea,3.5,46.2,1.3,25.0,2.5,75.4,74.89615384615384,64.45,190,9.46271186440678,49.0,24.0,36,56,64,22,36,251,188,131.0,124.0,93.07377049180327,92.87704918032787,65.0,71.0,65.0,58.0,82.0,72.0,69,54,44.5,2780.0,8.8,462.8,19
