country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_criticle,total_cases_per_1M,deaths_per_1M,total_tests,tests_per_1M,population
azerbaijan,203593,1505.0,2253,43.0,142807.0,58533.0,,19995,221.0,2073137.0,203605.0,10182167
georgia,209462,824.0,2140,46.0,184668.0,22654.0,,52556,537.0,1797437.0,450990.0,3985534
serbia,303747,3685.0,2733,47.0,31536.0,269478.0,330.0,34831,313.0,2155365.0,247156.0,8720649
portugal,376220,2099.0,6191,57.0,299603.0,70426.0,502.0,36947,608.0,5186675.0,509367.0,10182594
pakistan,458968,1792.0,9392,62.0,409085.0,40491.0,2403.0,2059,42.0,6336113.0,28427.0,222892259
slovakia,152555,1219.0,1618,63.0,109807.0,41130.0,319.0,27936,296.0,1311832.0,240223.0,5460894
croatia,195728,766.0,3257,80.0,176366.0,16105.0,290.0,47818,796.0,950611.0,232240.0,4093219
austria,340373,1519.0,5435,84.0,305658.0,29280.0,478.0,37691,602.0,3614233.0,400219.0,9030636
greece,131597,525.0,4257,85.0,9989.0,117351.0,505.0,12655,409.0,3135160.0,301491.0,10398848
romania,593783,2489.0,14481,87.0,501896.0,77406.0,1255.0,30964,755.0,4607030.0,240242.0,19176598
switzerland,413991,10002.0,6722,100.0,311500.0,95769.0,433.0,47670,774.0,3349768.0,385721.0,8684436
hungary,305130,2141.0,8282,183.0,102962.0,193886.0,517.0,31624,858.0,2520288.0,261205.0,9648708
iran,1164535,6151.0,53816,191.0,894366.0,216353.0,5519.0,13782,637.0,7097556.0,83998.0,84497091
indonesia,671778,6848.0,20085,205.0,546884.0,104809.0,,2444,73.0,6824030.0,24825.0,274882460
turkey,2043704,19103.0,18351,254.0,1834705.0,190648.0,5192.0,24110,216.0,22635637.0,267039.0,84765367
india,10075036,18788.0,146134,291.0,9634866.0,294036.0,8944.0,7267,105.0,162098329.0,116922.0,1386382478
mexico,1320545,6870.0,118202,326.0,978002.0,224341.0,3890.0,10192,912.0,3377517.0,26067.0,129569201
italy,1964054,10872.0,69214,415.0,1281258.0,613582.0,2731.0,32507,1146.0,25217014.0,417364.0,60419662
russia,2877727,29350.0,51351,493.0,2295362.0,531014.0,2300.0,19715,352.0,86391683.0,591869.0,145964097
